TimeValue,EPC,RSSI,PhaseAngle
0.63,1,1.0,0.6995
0.675,1,0.9205298013245033,0.7854
0.772,1,0.9337748344370861,1.264
0.879,1,0.9668874172185431,3.9638
0.973,1,0.9072847682119205,4.9333
1.07,1,0.8940397350993378,4.8351
0.0,2,0.9801324503311258,4.1264
0.096,2,0.9801324503311258,5.507
0.213,2,1.0,7.7925853071795865
0.488,2,0.9801324503311258,5.2554
0.575,2,0.9337748344370861,6.583885307179586
0.679,2,0.9536423841059603,8.025785307179586
0.787,2,0.9801324503311258,6.448885307179586
0.877,2,0.9668874172185431,4.0129
0.972,2,0.9602649006622517,4.0006
1.072,2,0.9337748344370861,3.8043
